"hisco","status","relation","age","sex"
99999,NA,NA,30,"female"
99999,NA,NA,32,"female"
99999,NA,NA,34,"female"
99999,NA,NA,35,"female"
99999,NA,NA,37,"female"
99999,NA,NA,38,"female"
99999,NA,NA,23,"female"
99999,NA,NA,24,"female"
99999,NA,NA,30,"female"
99999,NA,NA,17,"female"
99999,NA,NA,18,"female"
99999,NA,NA,38,"female"
99999,NA,NA,41,"female"
99999,NA,NA,42,"female"
99999,NA,NA,44,"female"
99999,NA,NA,45,"female"
99999,NA,NA,51,"female"
99920,NA,NA,31,"male"
99920,NA,NA,33,"male"
99920,NA,NA,34,"male"
99920,NA,NA,36,"male"
99920,NA,NA,37,"male"
99920,NA,NA,39,"male"
99920,NA,NA,40,"male"
99920,NA,NA,42,"male"
99920,NA,NA,44,"male"
99920,NA,NA,45,"male"
99920,NA,NA,48,"male"
99999,NA,NA,16,"female"
99999,NA,NA,17,"female"
99999,NA,NA,18,"female"
99999,NA,NA,20,"female"
99999,NA,NA,15,"male"
99999,NA,NA,17,"male"
99999,NA,NA,20,"male"
99999,NA,NA,21,"male"
99999,NA,NA,24,"male"
99999,NA,NA,26,"male"
99999,NA,NA,27,"male"
99999,NA,NA,28,"male"
99999,NA,NA,31,"male"
99999,NA,NA,34,"male"
99999,NA,NA,23,"male"
99999,NA,NA,27,"male"
99999,NA,NA,29,"male"
99999,NA,NA,30,"male"
99999,NA,NA,32,"male"
99999,NA,NA,33,"male"
61220,NA,NA,35,"male"
61220,NA,NA,36,"male"
99900,NA,NA,40,"male"
99900,NA,NA,46,"male"
99900,NA,NA,47,"male"
99900,NA,NA,49,"male"
98620,NA,NA,50,"male"
98620,NA,NA,52,"male"
98620,NA,NA,53,"male"
98620,NA,NA,55,"male"
98620,NA,NA,56,"male"
98620,NA,NA,58,"male"
98620,NA,NA,59,"male"
98620,NA,NA,62,"male"
98620,NA,NA,65,"male"
98620,NA,NA,68,"male"
98620,NA,NA,69,"male"
98620,NA,NA,72,"male"
98620,NA,NA,74,"male"
99999,NA,NA,17,"female"
99999,NA,NA,20,"female"
99999,NA,NA,22,"female"
99999,NA,NA,26,"female"
99999,NA,NA,29,"female"
99999,NA,NA,31,"female"
99999,NA,NA,34,"female"
99999,NA,NA,35,"female"
99999,NA,NA,37,"female"
99999,NA,NA,40,"female"
99999,NA,NA,41,"female"
99999,NA,NA,45,"female"
99999,NA,NA,48,"female"
-2,NA,NA,16,"male"
-2,NA,NA,17,"male"
NA,NA,NA,19,"male"
NA,NA,NA,20,"male"
NA,NA,NA,22,"male"
77330,NA,NA,25,"male"
77330,NA,NA,28,"male"
77330,NA,NA,31,"male"
77330,NA,NA,32,"male"
77330,NA,NA,38,"male"
77330,NA,NA,39,"male"
77330,NA,NA,41,"male"
77330,NA,NA,42,"male"
77330,NA,NA,47,"male"
77330,NA,NA,48,"male"
77330,NA,NA,50,"male"
77330,NA,NA,53,"male"
77330,NA,NA,54,"male"
77330,NA,NA,56,"male"
77330,NA,NA,59,"male"
-2,NA,NA,15,"male"
-2,NA,NA,16,"male"
-2,NA,NA,17,"male"
-2,NA,NA,22,"male"
99900,NA,NA,23,"male"
99900,NA,NA,25,"male"
99900,NA,NA,26,"male"
99900,NA,NA,28,"male"
99900,NA,NA,32,"male"
99900,NA,NA,35,"male"
99900,NA,NA,37,"male"
99900,NA,NA,38,"male"
99900,NA,NA,43,"male"
96925,NA,NA,47,"male"
99900,NA,NA,49,"male"
99900,NA,NA,52,"male"
99900,NA,NA,58,"male"
99900,NA,NA,62,"male"
99930,NA,NA,63,"male"
99930,NA,NA,65,"male"
99930,NA,NA,69,"male"
99930,NA,NA,72,"male"
99930,NA,NA,74,"male"
99930,NA,NA,78,"male"
99999,NA,NA,20,"male"
99999,NA,NA,21,"male"
99999,NA,NA,24,"male"
2210,NA,NA,30,"male"
2210,NA,NA,31,"male"
2210,NA,NA,33,"male"
2210,NA,NA,34,"male"
2210,NA,NA,36,"male"
2210,NA,NA,42,"male"
99999,NA,NA,19,"female"
99999,NA,NA,20,"female"
99999,NA,NA,22,"female"
99999,NA,NA,23,"female"
99999,NA,NA,24,"female"
99999,NA,NA,30,"female"
99999,NA,NA,31,"female"
99999,NA,NA,34,"female"
99999,NA,NA,37,"female"
99999,NA,NA,42,"female"
99999,NA,NA,45,"female"
99999,NA,NA,46,"female"
99999,NA,NA,49,"female"
99999,NA,NA,50,"female"
99999,NA,NA,52,"female"
99999,NA,NA,53,"female"
99999,NA,NA,55,"female"
99999,NA,NA,18,"male"
30000,NA,NA,29,"male"
30000,NA,NA,31,"male"
30000,NA,NA,35,"male"
30000,NA,NA,41,"male"
